PO1,PD1,distance(m),durations(s),asecnd(m),descent(m)
FK77TX,FK82EA,2392.1,229.6,7.9,13.2
FK77TX,FK82EA,2392.1,229.6,7.9,13.2
FK102RU,FK82EA,9989.3,630.0,28.4,35.3
FK104LE,FK82EA,15908.7,996.3,83.0,80.9
G689FG,FK82EA,26579.4,1271.2,195.5,244.1
FK53HW,FK82EA,15931.3,1035.2,78.3,84.2
FK103RX,FK82EA,14119.0,861.6,70.7,73.2
FK77UT,FK82EA,2309.7,217.7,8.3,2.2
DG11NS,FK82EA,146283.7,5957.6,1136.7,1139.1
FK70BX,FK82EA,2454.8,266.1,6.7,26.6
FK77SP,FK82EA,1438.7,179.4,8.0,0.9
FK83NR,FK82EA,21973.8,1106.4,73.0,87.8
