"Address",Latitude,Longitude
"KY11 1",56.0306,-3.39985
"KY11 2",56.0374,-3.42814
"KY11 3",56.0494,-3.4676
"KY11 4",56.0673,-3.43199
"KY11 7",56.061,-3.38035
"KY11 8",56.0614,-3.41815
"KY11 9",56.0418,-3.37173
"KY12 0",56.083,-3.44326
"KY12 7",56.0709,-3.45123
"KY12 8",56.063,-3.53272
"KY12 9",56.0886,-3.52857
"KY13 0",56.1993,-3.49661
"KY13 8",56.2077,-3.42585
"KY13 9",56.2161,-3.38755
"KY14 6",56.3483,-3.22107
"KY14 7",56.2872,-3.23982
"KY15 4",56.3303,-3.01403
"KY15 5",56.3062,-3.00311
"KY15 7",56.2669,-3.14186
"KY16 0",56.3775,-2.89673
"KY16 8",56.3247,-2.78579
"KY16 9",56.3388,-2.81219
"KY2 5",56.1148,-3.17961
"KY2 6",56.1303,-3.18707
"KY3 0",56.0597,-3.26379
"KY3 9",56.0662,-3.20202
"KY4 0",56.1363,-3.38364
"KY4 8",56.0965,-3.35688
"KY4 9",56.1116,-3.35082
"KY5 0",56.1517,-3.25808
"KY5 8",56.1569,-3.3249
"KY5 9",56.1275,-3.30994
"KY6 1",56.1968,-3.18878
"KY6 2",56.1894,-3.18936
"KY6 3",56.2044,-3.20987
"KY7 4",56.1858,-3.16164
"KY7 5",56.1952,-3.16004
"KY7 6",56.2056,-3.14986
"KY8 1",56.1742,-3.03549
"KY8 2",56.19,-3.03173
"KY8 3",56.1856,-3.01648
"KY8 4",56.198,-3.00262
"KY8 5",56.2106,-3.02541
"KY8 6",56.215,-2.94152
"KY9 1",56.2089,-2.83712
"ML1 1",55.7907,-3.98699
"ML1 2",55.7787,-3.9754
"ML1 3",55.794,-4.00525
"ML1 4",55.8131,-3.97342
"ML1 5",55.8111,-3.93907
"ML10 6",55.6832,-4.06444
"ML11 0",55.608,-3.87693
"ML11 7",55.6778,-3.76761
"ML11 8",55.7169,-3.66593
"ML11 9",55.6617,-3.83235
"ML12 6",55.5714,-3.59103
"ML2 0",55.7649,-3.9322
"ML2 7",55.7791,-3.93093
"ML2 8",55.778,-3.90779
"ML2 9",55.7864,-3.87757
"ML3 0",55.7825,-4.05629
"ML3 6",55.7737,-4.04235
"ML3 7",55.7622,-4.03401
"ML3 8",55.7626,-4.06367
"ML3 9",55.7748,-4.07471
"ML4 1",55.8229,-4.01411
"ML4 2",55.8122,-4.01856
"ML4 3",55.8222,-4.03354
"ML5 1",55.8609,-4.03864
"ML5 2",55.8787,-4.04218
"ML5 3",55.8625,-4.01887
"ML5 4",55.8499,-4.01291
"ML5 5",55.8492,-4.04524
"ML6 0",55.8737,-3.99275
"ML6 6",55.873,-3.97698
"ML6 7",55.8847,-3.933
"ML6 8",55.8545,-3.94873
"ML6 9",55.8578,-3.97883
"ML7 4",55.8271,-3.81884
"ML7 5",55.8317,-3.78059
"ML8 4",55.7278,-3.82107
"ML8 5",55.7302,-3.85362
"ML9 1",55.7334,-3.97415
"ML9 2",55.7372,-3.96417
"ML9 3",55.7034,-3.96864
"PA1 1",55.8447,-4.41853
"PA1 2",55.8433,-4.44035
"PA1 3",55.8473,-4.39593
"PA10 2",55.8329,-4.54949
"PA11 3",55.8572,-4.58432
"PA12 4",55.7968,-4.61911
"PA13 4",55.8909,-4.62751
